Month_Day,2016,2017,2018,2019,2020,2021,2022
03-26,262.44,288.6516,389.3346,370.3482,340.5078,336.8466,249.7068
03-27,267.462,336.879,379.89,365.9742,312.417,303.1992,265.3398
03-28,284.0022,324.0972,372.9564,360.1098,265.8744,303.8796,308.286
03-29,335.3562,316.9368,359.3322,336.8952,308.2698,331.5654,326.4624
03-30,337.8996,310.2624,308.4804,275.5944,361.422,344.25,340.4592
03-31,338.1264,292.3452,303.507,296.1522,360.9198,336.8304,342.4356
04-01,329.265,257.6934,300.5424,333.8172,345.951,312.2874,345.9348
04-02,268.4988,261.225,294.6132,326.3004,326.916,292.3452,318.3462
04-03,253.9188,316.7262,311.9148,350.163,319.0104,290.385,299.4084
04-04,295.731,319.7394,315.2034,361.7946,278.802,278.64,331.2576
04-05,304.2846,314.5392,335.4858,347.5872,254.4534,311.0886,322.4286
04-06,308.9178,323.9838,320.8734,282.933,278.6886,383.1624,296.3142
04-07,319.0752,311.9796,265.9554,277.6518,280.6974,383.5188,302.4702
04-08,321.1002,269.1954,261.9378,321.5052,281.1996,381.7044,316.2564
04-09,272.6622,257.3532,298.9224,335.5182,267.6888,353.5002,280.6002
04-10,266.0202,299.7162,298.6308,346.1616,242.7894,323.1414,286.821
04-11,306.6336,317.601,304.398,363.5442,230.8824,313.1298,309.8574
04-12,320.031,309.258,295.326,369.684,215.0226,397.548,286.4646
04-13,327.5478,305.6292,295.9578,330.2046,243.5346,393.174,290.5956
04-14,318.3138,269.6652,257.337,325.1826,303.1668,405.081,269.1306
04-15,303.6366,256.8186,252.315,344.3472,297.4158,397.3374,244.5714
04-16,262.0998,257.5962,293.382,333.9306,294.0948,377.1684,235.7262
04-17,274.266,281.7018,286.3188,327.8394,286.6914,327.6774,224.3862
04-18,323.7084,348.9156,277.9272,293.382,251.5374,328.6656,236.8278
04-19,320.3064,365.9418,273.051,251.5536,252.234,367.5456,277.911
04-20,319.545,352.0584,264.8862,240.8454,279.936,353.5326,282.8844
04-21,310.5216,315.8676,233.0208,225.4554,277.506,331.7436,278.397
04-22,302.2434,285.1848,230.0076,230.2506,283.581,338.337,257.4018
04-23,274.8168,289.3644,273.4722,276.3072,302.4216,331.4682,222.7824
04-24,289.3158,318.6864,280.7136,281.5884,272.97,291.8916,233.199
