Datetime,Price_10MIN,Price_1H,Price_daily
2021-11-26 11:00:00,90.55833333333334,90.6375,88.35
2021-11-26 13:00:00,90.10208333333333,90.2,88.35
2021-11-26 15:00:00,88.76458333333333,88.7875,88.35
2021-11-29 07:00:00,94.3,95.2875,94.9
2021-11-29 09:00:00,94.61041666666667,94.4625,94.9
2021-11-29 11:00:00,93.93333333333335,93.6,94.9
2021-11-29 13:00:00,92.625,92.5875,94.9
2021-11-29 15:00:00,93.5125,94.475,94.9
2021-11-30 07:00:00,97.33571428571429,97.875,91.7
2021-11-30 09:00:00,98.86041666666667,98.625,91.7
2021-11-30 11:00:00,96.66250000000001,96.3625,91.7
2021-11-30 13:00:00,96.50624999999998,97.3125,91.7
2021-11-30 15:00:00,94.46875,94.175,91.7
